0,1,2,3,4
2014-08-06 13:46:49,2014-08-20 11:11:52,35,Coronel,"38
"
2011-06-04 05:02:34,2011-06-15 00:10:17,132,Puerto Montt,"39
"
2017-01-24 07:16:18,2017-01-25 03:09:25,231,Guayacan,"40
"
2016-04-14 22:11:07,2016-04-15 14:19:24,155,Calderilla,"41
"
2021-07-28 00:31:39,,201,Huasco,"42
"
2019-03-29 03:34:06,2019-03-29 21:23:27,181,Port Williams,"43
"
2020-10-17 04:13:53,,133,Guayacan,"44
"
2016-06-30 04:02:02,2016-07-01 02:29:15,98,Quellon,"45
"
2021-02-15 14:59:49,,68,Quellon,"46
"
2016-04-21 08:32:12,2016-04-22 02:31:42,176,Isla Guarello,"47
"
2021-05-06 16:28:39,,74,Taltal,"48
"
2015-12-18 02:20:55,2015-12-19 00:48:07,29,Tocopilla,"49
"
2012-07-26 01:54:43,2012-07-26 23:44:57,241,Cabo Negro,"50
"
2021-01-02 07:56:35,,171,Calderilla,"51
"
2020-10-30 00:12:52,,240,nombre,"52
"
2012-09-25 23:55:54,2012-10-02 14:09:47,30,Lirquen,"53
"
2020-09-01 18:29:23,2020-09-11 11:02:39,101,Quintero,"54
"
2015-05-12 07:19:14,2015-05-13 03:37:35,230,Quellon,"55
"
2014-12-21 22:21:23,2014-12-22 19:07:11,104,Cruz Grande,"56
"
2015-09-16 11:19:53,2015-09-17 07:45:39,137,Barquito,"57
"
2021-07-16 11:32:07,,145,Puerto Montt,"58
"
2019-09-05 03:05:51,2019-09-05 21:03:50,245,Chacabuco,"59
"
2021-08-15 00:12:46,,10,Caleta Coloso,"60
"
2013-08-26 22:46:16,2013-08-27 21:35:35,128,Balmaceda,"61
"
2019-01-31 10:28:50,2019-02-09 09:54:03,70,La Serena,"62
"
2012-02-18 08:38:35,2012-02-29 03:03:56,203,Lota,"63
"
2015-01-11 15:16:01,2015-01-12 11:02:03,117,Mejillones,"64
"
2017-09-27 05:08:30,2017-09-28 01:24:03,228,Mejillones,"65
"
2020-12-16 02:56:08,,170,Caleta Coloso,"66
"
2021-01-13 17:40:56,,178,Coquimbo,"67
"
2021-04-01 00:09:50,,10,Lota,"68
"
2010-08-07 14:45:10,2010-08-08 13:38:43,46,Puerto Montt,"69
"
2013-09-21 01:34:37,2013-09-21 21:14:43,190,Puerto Chacabuco,"70
"
2021-01-22 01:39:53,,84,Taltal,"71
"
2021-06-19 05:17:54,,55,Coronel,"72
"
2021-05-23 12:26:50,,201,Mejillones,"73
"
2012-11-17 07:07:15,2012-11-17 23:04:27,81,Lota,"74
"
2017-10-15 06:29:50,2017-10-15 23:48:45,177,Ancud,"75
"
2019-03-16 21:55:49,2019-03-28 20:58:50,29,Barquito,"76
"
2017-01-25 03:34:12,2017-02-03 18:22:26,149,Antofagasta,"77
"
2014-12-30 21:51:45,2014-12-31 14:08:29,117,Quemchi,"78
"
2019-07-31 22:56:09,2019-08-11 15:39:42,186,Caleta Coloso,"79
"
2010-09-22 06:16:17,2010-09-30 22:59:32,66,Lota,"80
"
2021-02-04 12:12:33,,143,Calderilla,"81
"
2013-12-13 17:00:07,2013-12-14 07:55:47,148,Penco,"82
"
2014-07-05 02:56:31,2014-07-05 19:32:00,4,La Serena,"83
"
2016-04-21 05:46:57,2016-04-28 00:04:22,96,Huasco,"84
"
2016-10-09 23:34:24,2016-10-10 17:56:29,115,Barquito,"85
"
2017-03-04 04:19:10,2017-03-04 20:52:31,134,Quintero,"86
"
2010-03-19 23:07:33,2010-03-26 22:25:32,189,La Serena,"87
"
2011-07-18 13:18:04,2011-07-19 03:23:11,220,Calderilla,"88
"
2020-12-05 22:40:37,,224,Barquito,"89
"
2012-05-30 15:32:39,2012-05-31 09:27:25,71,Cruz Grande,"90
"
2019-03-21 01:36:28,2019-03-21 22:38:30,143,Antofagasta,"91
"
2011-07-26 01:14:18,2011-07-26 17:21:44,165,Punta Patache,"92
"
2019-10-17 15:54:18,2019-10-26 12:41:41,189,Taltal,"93
"
2021-09-06 04:02:26,,54,San Vicente,"94
"
2010-11-06 16:28:52,2010-11-07 07:18:50,230,Quellon,"95
"
2016-12-25 05:03:19,2017-01-09 03:15:19,239,Guayacan,"96
"
2020-11-12 17:07:56,,211,Lirquen,"97
"
2014-08-30 06:37:19,2014-08-31 03:36:46,5,Barquito,"98
"
2012-09-04 22:48:17,2012-09-05 14:23:24,149,Cabo Negro,"99
"
2013-07-26 06:45:21,2013-08-05 04:55:56,145,Caldera,"100
"
2021-05-24 12:49:41,,241,Ancud,"101
"
2012-12-08 00:07:00,2012-12-08 20:56:28,82,Arica,"102
"
2014-03-21 04:58:39,2014-03-21 21:52:38,19,Mejillones,"103
"
2016-07-15 14:28:05,2016-07-16 10:55:01,243,Taltal,"104
"
2017-02-14 21:56:27,2017-02-26 19:31:51,222,Barquito,"105
"
2021-04-04 03:18:17,,21,Quellon,"106
"
2017-05-19 23:17:39,2017-06-01 19:31:24,164,Caleta Coloso,"107
"
2020-08-07 04:30:03,2020-08-08 03:32:28,10,Ancud,"108
"
2017-07-27 19:51:48,2017-07-28 10:23:37,184,Lota,"109
"
2021-06-06 17:52:09,,40,Caleta Patillos,"110
"
2012-06-27 21:55:54,2012-06-28 21:05:20,72,Barquito,"111
"
2021-09-02 15:02:20,,13,Tocopilla,"112
"
2014-06-28 20:35:40,2014-06-29 14:59:01,118,Coronel,"113
"
2019-02-19 02:14:08,2019-03-03 01:19:42,246,Cruz Grande,"114
"
2021-01-03 19:07:54,,96,Port Williams,"115
"
2012-03-23 16:16:53,2012-03-24 12:01:28,112,Coronel,"116
"
2021-06-17 22:08:12,,33,Chacabuco,"117
"
2017-02-09 21:50:19,2017-02-24 21:46:47,102,Puerto Angamos,"118
"
2013-03-25 23:52:46,2013-03-26 17:14:51,20,Quintero,"119
"
2021-02-20 12:14:48,,19,Ancud,"120
"
2016-07-16 00:43:30,2016-07-22 20:19:47,214,Coronel,"121
"
2018-11-02 08:15:23,2018-11-03 03:11:44,144,Guayacan,"122
"
2013-01-12 10:08:13,2013-01-13 04:09:43,85,Puerto Montt,"123
"
2018-01-09 09:07:53,2018-01-10 05:40:15,184,Cruz Grande,"124
"
2021-01-09 04:49:05,,38,Huasco,"125
"
2019-11-25 23:29:58,2019-11-26 21:07:48,152,Mejillones,"126
"
2020-12-08 06:17:17,,78,Chacabuco,"127
"
2021-05-01 02:45:37,,106,La Serena,"128
"
2021-07-28 01:06:27,,28,Cruz Grande,"129
"
2012-11-04 10:40:41,2012-11-05 08:54:49,39,Calderilla,"130
"
2021-07-03 18:49:48,,243,Mejillones,"131
"
2015-09-21 08:29:50,2015-09-22 02:16:21,30,Chacabuco,"132
"
2013-08-12 00:41:31,2013-08-12 14:41:15,224,Chacabuco,"133
"
2020-10-16 09:14:59,,80,Arica,"134
"
2011-07-03 03:35:09,2011-07-03 18:28:22,127,nombre,"135
"
2021-01-11 15:52:07,,122,Lota,"136
"
2011-08-28 05:25:04,2011-08-29 03:03:43,115,Taltal,"137
"
2011-11-21 03:04:28,2011-11-27 02:57:04,29,Caleta Coloso,"138
"
2021-04-07 10:04:16,,156,Ancud,"139
"
2015-05-20 15:15:45,2015-05-27 11:14:41,42,Barquito,"140
"
2018-12-22 18:00:59,2018-12-23 17:35:55,55,Arica,"141
"
2019-01-05 19:11:37,2019-01-06 12:05:01,87,Huasco,"142
"
2020-07-10 20:56:26,2020-07-11 11:45:49,111,Guayacan,"143
"
2015-04-12 01:49:38,2015-04-24 18:12:55,195,Mejillones,"144
"
2015-08-22 18:46:19,2015-08-27 10:56:41,198,Punta Arenas,"145
"
2021-04-05 12:45:43,,23,Caleta Coloso,"146
"
2010-11-08 16:33:42,2010-11-09 13:58:22,187,Calderilla,"147
"
2012-01-13 07:29:40,2012-01-24 07:24:51,153,Lirquen,"148
"
2017-06-13 13:12:45,2017-06-17 10:01:53,176,Port Williams,"149
"
2021-08-31 15:11:51,,6,Quintero,"150
"
2021-01-21 15:59:22,,229,Punta Arenas,"151
"
2018-01-24 22:50:57,2018-02-08 18:10:36,72,Coronel,"152
"
2021-08-07 07:28:27,,171,Quintero,"153
"
2021-06-29 12:15:27,,136,Ancud,"154
"
2021-03-19 17:04:57,,86,Quellon,"155
"
2013-07-29 17:08:33,2013-07-30 12:27:50,31,valparaiso,"156
"
2018-07-08 22:02:32,2018-07-09 21:22:52,118,Punta Arenas,"157
"
2021-06-24 13:09:23,,187,Mejillones,"158
"
2020-03-10 11:36:11,2020-03-11 01:38:14,10,La Serena,"159
"
2021-06-13 13:10:02,,174,Cruz Grande,"160
"
2013-02-02 03:29:01,2013-02-02 23:01:10,217,Puerto Natales,"161
"
2016-05-27 19:07:36,2016-05-28 09:25:33,103,Port Williams,"162
"
2020-09-24 10:14:01,,74,Guayacan,"163
"
2020-11-25 00:18:10,,32,Quellon,"164
"
2021-06-10 07:00:54,,9,La Serena,"165
"
2014-07-27 12:41:09,2014-07-28 05:22:40,178,Chacabuco,"166
"
2011-06-29 08:38:14,2011-06-30 07:16:02,110,Puerto Montt,"167
"
2020-11-07 06:33:19,,174,Quintero,"168
"
2020-09-21 07:31:18,,35,Calderilla,"169
"
2020-11-04 12:02:39,,221,Cruz Grande,"170
"
2017-03-21 21:44:15,2017-03-22 20:14:39,174,Tocopilla,"171
"
2011-03-06 16:50:45,2011-03-07 14:46:14,18,Guayacan,"172
"
2014-02-04 23:00:16,2014-02-14 19:30:27,30,Antofagasta,"173
"
2015-05-26 20:38:50,2015-06-01 20:20:34,158,Penco,"174
"
2015-12-28 22:11:40,2016-01-07 17:22:44,88,Antofagasta,"175
"
2021-04-20 14:54:53,,147,Chacabuco,"176
"
2020-09-14 12:17:58,,91,Ancud,"177
"
2017-09-22 14:26:16,2017-09-23 08:33:19,242,Isla Guarello,"178
"
2016-10-21 01:38:25,2016-10-21 19:14:06,106,Barquito,"179
"
2010-05-11 22:19:11,2010-05-12 17:40:50,152,Iquique,"180
"
2018-07-06 22:16:39,2018-07-13 13:45:18,239,Tocopilla,"181
"
2020-11-13 12:28:45,,226,Huasco,"182
"
2021-02-25 23:34:30,,179,Barquito,"183
"
2020-10-19 02:27:55,,184,Ancud,"184
"
2020-08-19 13:30:38,2020-08-20 12:37:44,159,Ancud,"185
"
2013-06-18 07:54:37,2013-06-28 23:27:05,156,Punta Patache,"186
"
2021-02-23 05:12:12,,174,Cabo Negro,"187
"
2021-01-18 22:09:01,,68,San Vicente,"188
"
2021-01-12 14:47:25,,16,Guayacan,"189
"
2016-04-27 13:08:05,2016-04-28 11:59:16,140,Mejillones,"190
"
2021-07-05 10:15:10,,229,Lirquen,"191
"
2014-11-09 20:45:05,2014-11-10 11:02:35,192,Puerto Montt,"192
"
2011-08-08 03:47:36,2011-08-08 23:09:24,77,Quintero,"193
"
2014-11-12 12:01:25,2014-11-24 04:51:12,129,Arica,"194
"
2017-02-10 14:47:09,2017-02-18 06:52:37,147,nombre,"195
"
2012-08-11 18:46:13,2012-08-12 16:50:39,27,Chacabuco,"196
"
2013-08-21 00:14:12,2013-08-21 19:01:00,52,Balmaceda,"197
"
2021-06-17 01:52:24,,185,Puerto Angamos,"198
"
2011-11-13 17:48:15,2011-11-14 15:49:12,147,Taltal,"199
"
2021-07-08 06:01:34,,48,Punta Patache,"200
"
2021-02-14 12:26:47,,59,Cruz Grande,"201
"
2010-06-02 12:56:51,2010-06-03 09:14:50,123,Cruz Grande,"202
"
2019-05-20 20:38:51,2019-05-25 11:35:23,25,Tocopilla,"203
"
2020-12-26 16:37:46,,121,Huasco,"204
"
2021-05-13 18:57:35,,211,Guayacan,"205
"
2015-04-29 08:42:43,2015-04-29 22:53:17,76,Barquito,"206
"
2021-02-08 07:00:31,,213,Chacabuco,"207
"
2012-06-21 03:27:59,2012-06-27 19:57:49,230,Penco,"208
"
2011-11-12 11:19:25,2011-11-13 07:14:55,158,Isla de Pascua,"209
"
2020-02-26 05:46:15,2020-02-27 05:39:29,118,Puerto Montt,"210
"
2021-07-20 08:58:56,,72,Corral,"211
"
2013-10-27 18:19:08,2013-11-01 14:56:51,170,Lirquen,"212
"
2012-06-27 15:20:50,2012-06-28 06:54:10,206,Puerto Montt,"213
"
2014-01-04 23:22:27,2014-01-05 20:58:33,62,nombre,"214
"
2020-11-23 03:14:28,,174,Caleta Patillos,"215
"
2016-03-22 13:59:32,2016-03-23 11:22:51,200,Mejillones,"216
"
2011-07-27 23:45:41,2011-07-28 20:12:25,47,Antofagasta,"217
"
2021-05-14 15:32:18,,90,Penco,"218
"
2011-01-09 02:43:25,2011-01-09 22:12:14,201,Huasco,"219
"
2020-03-18 10:24:46,2020-03-19 09:19:10,46,Isla Guarello,"220
"
2019-11-11 14:41:34,2019-11-12 06:29:01,82,Balmaceda,"221
"
2016-11-14 03:19:27,2016-11-14 23:19:37,185,Puerto Natales,"222
"
2017-12-04 23:56:11,2017-12-05 18:46:39,80,San Vicente,"223
"
2013-11-15 05:24:18,2013-11-28 00:22:08,75,Caleta Coloso,"224
"
2012-11-11 01:48:27,2012-11-22 22:01:52,196,nombre,"225
"
2016-08-20 23:18:56,2016-08-21 14:24:25,1,Chacabuco,"226
"
2015-04-13 02:06:49,2015-04-25 20:44:18,82,nombre,"227
"
2011-11-29 07:23:58,2011-11-29 21:51:57,169,Puerto Montt,"228
"
2015-06-25 19:46:24,2015-06-26 16:00:42,218,Mejillones,"229
"
2014-10-19 08:06:22,2014-10-28 07:34:07,219,Antofagasta,"230
"
2010-03-11 00:26:24,2010-03-11 21:14:38,71,Quintero,"231
"
2015-08-09 18:41:46,2015-08-10 13:25:35,27,San Vicente,"232
"
2018-02-17 12:50:16,2018-02-28 05:42:52,140,Cabo Negro,"233
"
2012-03-05 16:44:00,2012-03-06 10:35:16,90,Caleta Patillos,"234
"
2020-10-13 02:41:08,,179,Guayacan,"235
"
2021-07-04 20:42:59,,119,Huasco,"236
"
2020-02-09 14:53:37,2020-02-10 05:22:28,180,Penco,"237
"
2021-05-30 22:59:28,,185,Balmaceda,"238
"
2014-12-10 12:58:57,2014-12-11 08:52:52,78,Puerto Montt,"239
"
2018-09-08 22:43:03,2018-09-16 14:26:47,141,Puerto Angamos,"240
"
2021-01-16 12:18:04,,156,Coronel,"241
"
2018-06-12 17:19:21,2018-06-13 09:13:28,44,Isla Guarello,"242
"
2015-05-27 07:02:54,2015-05-28 01:52:30,203,Puerto Angamos,"243
"
2013-06-18 20:23:35,2013-06-19 17:05:55,59,Quellon,"244
"
2020-10-01 15:08:05,,75,nombre,"245
"
2012-04-03 07:33:44,2012-04-04 04:48:23,178,Taltal,"246
"
2013-08-22 02:07:11,2013-08-22 21:57:28,53,Caleta Coloso,"247
"
2017-08-02 17:21:11,2017-08-03 08:49:50,47,Quintero,"248
"
2021-06-07 14:27:48,,183,valparaiso,"249
"
2015-09-11 20:36:48,2015-09-12 19:11:26,98,nombre,"250
"
2018-04-14 00:36:45,2018-04-14 22:59:53,107,Lota,"251
"
2011-07-06 16:33:06,2011-07-14 16:06:27,96,Calderilla,"252
"
2013-09-03 07:39:14,2013-09-04 06:32:59,101,Ancud,"253
"
2020-08-11 10:04:04,2020-08-17 01:52:38,148,Arica,"254
"
2020-11-27 02:42:01,,158,Ancud,"255
"
2020-11-01 17:45:43,,3,Valdivia,"256
"
2010-09-01 06:59:50,2010-09-07 23:05:28,157,Lota,"257
"
2017-10-24 23:02:26,2017-10-25 14:23:27,85,Iquique,"258
"
2020-10-21 05:15:48,,191,Lota,"259
"
2016-08-21 06:55:26,2016-08-22 01:57:07,178,Quintero,"260
"
2018-03-05 03:05:07,2018-03-05 20:23:03,32,Arica,"261
"
2010-06-03 14:38:40,2010-06-04 05:50:33,93,valparaiso,"262
"
2013-10-02 23:29:26,2013-10-11 14:24:05,108,Puerto Angamos,"263
"
2017-07-12 08:34:35,2017-07-16 07:10:27,40,La Serena,"264
"
2012-05-14 11:21:05,2012-05-15 06:10:42,237,Chacabuco,"265
"
2016-04-01 06:49:02,2016-04-02 04:58:15,156,San Vicente,"266
"
2021-01-18 01:11:17,,9,Calderilla,"267
"
2017-07-27 15:51:37,2017-07-31 10:23:40,248,Lota,"268
"
2021-04-09 21:23:48,,101,Mejillones,"269
"
2019-04-02 05:26:23,2019-04-08 04:19:00,8,Penco,"270
"
2017-08-04 08:48:24,2017-08-05 06:18:20,146,Arica,"271
"
2020-10-23 11:37:53,,219,Castro,"272
"
2021-06-25 07:28:16,,79,Isla Guarello,"273
"
2014-10-02 20:18:54,2014-10-03 10:57:57,156,La Serena,"274
"
2021-04-28 06:52:45,,29,Calderilla,"275
"
2021-06-04 11:29:28,,130,Caldera,"276
"
2014-08-04 06:30:06,2014-08-12 22:29:25,198,Quellon,"277
"
2021-03-02 20:16:13,,140,Cruz Grande,"278
"
2020-10-16 15:36:57,,193,Barquito,"279
"
2014-06-06 11:02:55,2014-06-07 05:04:01,126,Caldera,"280
"
2017-11-11 02:39:34,2017-11-14 17:38:09,2,Caleta Patillos,"281
"
2011-03-08 22:03:18,2011-03-19 17:02:22,74,Lota,"282
"
2015-01-12 17:27:56,2015-01-25 09:18:14,178,Antofagasta,"283
"
2021-06-11 09:49:42,,194,Ancud,"284
"
2021-06-02 15:20:26,,38,Quellon,"285
"
2020-04-01 06:20:10,2020-04-02 04:49:09,201,Isla Guarello,"286
"
2012-10-08 09:49:15,2012-10-09 02:45:39,114,Corral,"287
"
2014-11-28 14:41:08,2014-11-29 11:45:54,62,Cruz Grande,"288
"
2010-12-22 18:00:49,2010-12-23 17:37:27,41,Isla Guarello,"289
"
2016-05-14 02:14:56,2016-05-23 19:32:58,217,La Serena,"290
"
2019-12-31 23:27:42,2020-01-01 22:18:25,81,Isla Guarello,"291
"
2017-11-21 06:50:06,2017-12-03 06:32:09,150,Quellon,"292
"
2013-07-14 16:38:30,2013-07-21 11:20:39,163,Coronel,"293
"
2011-02-03 04:03:40,2011-02-13 01:37:34,98,Quellon,"294
"
2021-05-13 09:06:10,,40,Barquito,"295
"
2018-06-24 22:50:11,2018-06-25 18:07:37,5,Barquito,"296
"
2011-03-25 10:22:20,2011-03-26 01:58:18,195,Caldera,"297
"
2017-04-23 18:57:02,2017-04-24 15:06:13,58,Caleta Coloso,"298
"
2010-12-08 13:49:10,2010-12-09 13:22:32,199,Quemchi,"299
"
2017-04-16 11:20:17,2017-04-17 11:05:24,193,Taltal,"300
"
2020-12-26 05:00:40,,205,Caleta Patillos,"301
"
2018-07-31 15:08:17,2018-08-13 09:30:44,106,Isla Guarello,"302
"
2021-03-13 17:25:18,,127,Arica,"303
"
2020-12-08 08:15:25,,224,San Antonio,"304
"
2020-06-16 23:27:55,2020-06-17 20:22:29,137,Balmaceda,"305
"
2020-10-11 18:15:20,,56,Cruz Grande,"306
"
2021-02-17 11:29:21,,115,Coronel,"307
"
2013-02-28 03:50:49,2013-03-13 21:55:37,31,Arica,"308
"
2016-10-04 08:50:56,2016-10-13 08:24:52,97,Calderilla,"309
"
2014-09-23 15:51:10,2014-09-28 09:47:07,24,Caldera,"310
"
2020-08-12 18:25:54,2020-08-18 16:17:37,205,Castro,"311
"
2010-02-09 11:36:53,2010-02-10 01:47:57,204,Cruz Grande,"312
"
2020-11-20 00:46:32,,225,Puerto Montt,"313
"
2015-08-03 08:03:41,2015-08-04 06:46:43,32,Caleta Patillos,"314
"
2012-08-27 04:08:27,2012-08-28 00:40:59,182,Puerto Montt,"315
"
2011-12-29 14:40:54,2012-01-06 07:20:57,153,Guayacan,"316
"
2017-01-04 03:00:39,2017-01-09 02:31:36,4,Puerto Angamos,"317
"
2021-06-19 08:18:04,,142,Barquito,"318
"
2014-05-29 09:53:21,2014-05-29 23:47:28,239,Penco,"319
"
2010-09-16 12:32:35,2010-09-25 06:48:46,47,Chacabuco,"320
"
2015-01-26 13:09:04,2015-01-27 09:32:15,179,Quintero,"321
"
2014-02-12 18:11:13,2014-02-23 15:40:21,186,Lirquen,"322
"
2012-07-04 22:56:10,2012-07-05 16:33:48,75,Penco,"323
"
2015-09-26 17:21:30,2015-09-27 13:01:10,233,Balmaceda,"324
"
2021-07-25 12:54:03,,200,Isla Guarello,"325
"
2020-05-05 16:21:31,2020-05-09 13:47:05,246,San Antonio,"326
"
2016-12-06 02:47:30,2016-12-06 17:01:57,202,Iquique,"327
"
2020-09-21 04:29:46,,84,valparaiso,"328
"
2020-10-14 22:20:18,,149,Quellon,"329
"
2017-11-13 10:30:03,2017-11-14 01:44:49,23,Quintero,"330
"
2016-03-01 12:21:36,2016-03-13 02:31:15,21,Lirquen,"331
"
2021-08-07 02:44:03,,81,Puerto Montt,"332
"
2020-11-09 11:37:46,,32,Quintero,"333
"
2021-01-28 11:27:56,,249,Coquimbo,"334
"
2021-08-28 00:32:31,,104,Isla Guarello,"335
"
2019-02-24 09:17:44,2019-03-07 02:53:43,12,Ancud,"336
"
2012-05-12 02:19:07,2012-05-13 00:39:37,61,Calderilla,"337
"
2013-09-28 22:31:23,2013-10-08 18:23:43,245,Caleta Patillos,"338
"
2020-11-11 00:02:58,,72,Cruz Grande,"339
"
2021-08-05 17:59:49,,27,Lota,"340
"
2011-09-17 17:23:25,2011-09-18 16:43:27,135,valparaiso,"341
"
2014-04-26 19:41:22,2014-04-27 15:05:33,95,Cruz Grande,"342
"
2020-11-13 02:05:05,,210,Arica,"343
"
2021-02-21 04:52:26,,223,Guayacan,"344
"
2013-03-02 01:30:23,2013-03-02 21:53:26,42,Mejillones,"345
"
2021-04-13 16:19:39,,237,Barquito,"346
"
2019-05-11 10:25:59,2019-05-12 02:26:39,194,Caldera,"347
"
2021-06-24 03:33:47,,78,Chacabuco,"348
"
2012-08-16 13:42:32,2012-08-17 06:32:51,66,Puerto Montt,"349
"
2021-06-11 16:25:26,,56,Taltal,"350
"
2015-07-12 18:05:30,2015-07-13 14:52:55,206,Barquito,"351
"
2014-05-16 20:12:27,2014-05-28 13:54:04,207,Calderilla,"352
"
2021-06-06 01:54:17,,82,Puerto Angamos,"353
"
2020-04-07 03:41:53,2020-04-08 02:22:34,247,Guayacan,"354
"
2021-06-23 21:19:52,,177,Coquimbo,"355
"
2011-03-10 20:16:32,2011-03-16 17:49:35,167,Coronel,"356
"
2020-11-18 00:28:16,,72,Penco,"357
"
2021-05-25 21:38:22,,207,Caldera,"358
"
2014-04-25 11:42:06,2014-05-03 07:14:14,90,Caleta Patillos,"359
"
2019-04-21 23:47:33,2019-04-22 22:05:54,99,Arica,"360
"
2017-06-25 06:43:17,2017-06-25 23:44:09,104,Chacabuco,"361
"
2020-09-23 01:18:31,,94,Antofagasta,"362
"
2020-10-29 20:57:11,,7,Quintero,"363
"
2017-11-28 08:44:18,2017-11-29 00:45:24,154,Isla Guarello,"364
"
2020-12-01 10:03:20,,149,Caleta Coloso,"365
"
2020-09-11 23:06:48,,192,Ancud,"366
"
2020-12-17 00:12:33,,95,Coquimbo,"367
"
2019-06-24 20:18:16,2019-06-25 17:38:10,18,Isla Guarello,"368
"
2020-03-06 04:46:32,2020-03-07 02:26:27,135,Corral,"369
"
2015-01-26 01:46:05,2015-01-26 21:36:45,56,Arica,"370
"
2018-04-08 17:00:41,2018-04-09 08:59:44,124,Taltal,"371
"
2021-06-20 01:14:23,,26,Ancud,"372
"
2017-04-07 19:58:33,2017-04-08 19:24:14,133,Cruz Grande,"373
"
2020-10-20 06:32:42,,128,Quellon,"374
"
2019-08-03 19:37:23,2019-08-04 12:02:59,233,valparaiso,"375
"
2018-10-21 09:11:29,2018-10-22 08:48:39,96,Lota,"376
"
2020-11-19 01:15:38,,246,Isla Guarello,"377
"
2015-10-11 19:53:46,2015-10-12 14:49:33,62,Quintero,"378
"
2021-02-09 13:00:47,,91,La Serena,"379
"
2020-04-22 22:54:24,2020-05-05 18:14:58,243,Castro,"380
"
2014-03-25 17:46:04,2014-03-26 17:41:30,231,nombre,"381
"
2014-08-15 08:57:26,2014-08-16 03:13:48,95,Valdivia,"382
"
2013-02-25 09:16:08,2013-03-12 05:27:38,168,Cruz Grande,"383
"
2021-04-29 23:04:01,,134,Guayacan,"384
"
2020-11-22 19:12:49,,130,Cabo Negro,"385
"
2020-12-10 10:47:40,,49,Huasco,"386
"
2016-12-25 01:04:05,2016-12-25 20:57:26,211,Port Williams,"387
"
2015-07-05 16:29:02,2015-07-15 15:22:35,69,Guayacan,"388
"
2021-06-04 09:18:23,,45,Calderilla,"389
"
2013-08-18 23:22:03,2013-08-19 14:34:16,97,San Vicente,"390
"
2021-06-02 05:22:15,,228,Isla Guarello,"391
"
2021-01-26 17:30:16,,237,Caleta Patillos,"392
"
2021-02-14 15:48:52,,160,Port Williams,"393
"
2019-02-25 02:17:31,2019-02-25 23:01:28,200,Tocopilla,"394
"
2020-09-12 22:50:48,,212,Coronel,"395
"
2012-02-28 00:06:12,2012-02-28 22:16:29,221,Punta Patache,"396
"
2012-10-29 09:13:42,2012-11-06 03:14:21,31,nombre,"397
"
2012-08-24 04:16:03,2012-08-25 03:10:05,7,Cruz Grande,"398
"
2011-06-26 21:11:00,2011-06-27 14:31:29,166,Caleta Coloso,"399
"
