id_buque,nombre,patente,pais,tipo,tipo_pesca,max_containers,max_ton,max_lit,id_capitan, nombre_naviera,pais_naviera,descripcion_naviera
40,Adelaide,AL8743,Filipinas,petrolero,,,,583420,824,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
41,Adepto,KM2551,Republica Dominicana,petrolero,,,,619162,1568,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
42,Admirable,EI5702,Italia,petrolero,,,,667150,701,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
43,Almirante Devries,RJ2733,Estados Unidos,petrolero,,,,702509,408,APL,Finlandia,Naviera dedicada al transporte de petroleo
44,Almirante Farragut,YG2900,Sudafrica,carga,,12073,105347,,379,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
45,Almirantazgo,TO8113,Austria,carga,,13432,138876,,1379,AGENCO,Islas Malvinas,Naviera dedicada a la carga
46,Adonis,HE7029,India,petrolero,,,,550675,1499,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
47,Habil,HB3228,Singapur,petrolero,,,,701908,374,APL,Finlandia,Naviera dedicada al transporte de petroleo
48,Adur,OF5956,Egipto,petrolero,,,,676189,365,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
49,Avanzar,SG9128,Japon,carga,,14660,147528,,762,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
50,Ventaja,GO7311,Australia,petrolero,,,,663652,340,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
51,Advantagia,PM7495,Peru,pesquero,red,,,,247,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
52,Aventuras,GS7205,España,pesquero,arrastre,,,,1279,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
53,aventura Galera,PU5101,Peru,pesquero,red,,,,577,CMA,Chile,Naviera dedicada a la pesca
54,Premio aventura,VP2429,Australia,pesquero,red,,,,1020,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
55,Adversario,MO4968,España,pesquero,trampas,,,,223,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
56,Consejo,BI5654,Peru,carga,,9568,138908,,750,AGENCO,Islas Malvinas,Naviera dedicada a la carga
57,Premio consejos,YB8271,Siria,petrolero,,,,573681,934,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
58,Asesor,VT2032,Austria,pesquero,hilo,,,,1494,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
59,Eneas,MU6547,Sudafrica,carga,,6207,127705,,142,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
60,Eolo,IW2489,Australia,pesquero,hilo,,,,1294,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
61,Aetna,IG9597,Indonesia,pesquero,red,,,,1477,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
62,Affleck,AU6167,Argentina,carga,,13371,143235,,397,CCNI,Sudafrica,Naviera dedicada a la carga
63,Refriega,JD8184,Mexico,petrolero,,,,711686,593,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
64,Africa,RK2324,Republica Dominicana,petrolero,,,,576934,1190,APL,Finlandia,Naviera dedicada al transporte de petroleo
65,Africaine,LN6036,Republica Dominicana,pesquero,trampas,,,,615,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
66,Afridi,PZ3477,Nicaragua,carga,,9266,110426,,274,Container Transport Solutions,Colombia,Naviera dedicada a la carga
67,Afrikander,GM1638,Islas Malvinas,pesquero,arrastre,,,,177,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
68,Agamenon,CI3218,Siria,petrolero,,,,741035,1058,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
69,Aladdin,UH6836,Portugal,pesquero,trampas,,,,893,CMA,Chile,Naviera dedicada a la pesca
70,Alamein,QJ6353,Peru,petrolero,,,,745484,1365,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
71,Alarico,LW4637,Brasil,carga,,12639,89633,,554,CCNI,Sudafrica,Naviera dedicada a la carga
72,Alarma,SL2391,Sudafrica,petrolero,,,,704766,1465,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
73,Alaunia II,PP3724,Portugal,petrolero,,,,561784,91,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
74,albacora,QL4591,Siria,carga,,6249,89878,,1632,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
75,Alban,BF7024,Finlandia,pesquero,red,,,,112,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
76,Albanaise,QI7769,Japon,petrolero,,,,581730,117,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
77,Albany,FM3163,Finlandia,pesquero,arpon,,,,1310,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
78,Albatros,NX3376,Egipto,carga,,8659,85480,,1573,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
79,Albemarle,XG7925,Filipinas,carga,,6600,126720,,764,AGENCO,Islas Malvinas,Naviera dedicada a la carga
80,alberni,KY2131,Paraguay,carga,,12412,112531,,987,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
81,Albert,MW6341,Tailandia,petrolero,,,,622559,900,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
82,Alberta,FU8868,Panama,pesquero,trampas,,,,1054,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
83,Albian,UH1378,Sudafrica,petrolero,,,,665881,901,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
84,Albrighton,GT9752,España,petrolero,,,,686127,643,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
85,Albuera,OB9598,Vietnam,petrolero,,,,727737,1456,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
86,albury,VR7517,Islas Malvinas,petrolero,,,,563940,864,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
87,Alcantara,GF5994,España,petrolero,,,,693830,1144,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
88,Alcaston,HF1544,Jamaica,petrolero,,,,564770,280,APL,Finlandia,Naviera dedicada al transporte de petroleo
89,blackwall,AI2283,Reino Unido,carga,,12345,107560,,964,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
90,Agua Negra,KC2936,Noruega,petrolero,,,,680080,496,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
91,Madera negra,MN1612,Italia,pesquero,hilo,,,,1431,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
92,Espada,OR9516,Singapur,petrolero,,,,741884,168,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
93,BLAIRMORE,OE1789,Argentina,carga,,7559,89854,,1354,AGENCO,Islas Malvinas,Naviera dedicada a la carga
94,Blake,WD8846,Noruega,carga,,14590,134746,,1064,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
95,Blakeney,MZ9845,Italia,pesquero,arrastre,,,,1411,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
96,Blanche,RV9799,Dinamarca,petrolero,,,,555857,722,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
97,Blandford,IV2746,Argentina,petrolero,,,,713399,982,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
98,Blankney,TJ7818,Portugal,petrolero,,,,622444,756,APL,Finlandia,Naviera dedicada al transporte de petroleo
99,Blaxton,OF1501,Noruega,pesquero,trampas,,,,1399,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
100,Resplandor,BY4314,Suiza,petrolero,,,,699236,878,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
101,Chaqueta de sport,AM9504,Paraguay,carga,,7301,127694,,193,Container Transport Solutions,Colombia,Naviera dedicada a la carga
102,Blean,ZV9679,Australia,petrolero,,,,676493,1467,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
103,Bleasdale,SV9482,Panama,pesquero,hilo,,,,1398,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
104,blencathra,UL8619,India,pesquero,manos,,,,194,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
105,Blenheim,LF8633,Suiza,petrolero,,,,717122,927,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
106,Bendicion,PR9667,Noruega,carga,,9934,98312,,537,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
107,Blickling,MZ2239,Egipto,petrolero,,,,625911,403,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
108,Bligh,WI9449,Suiza,pesquero,red,,,,1174,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
109,Rubia,XG4556,Nicaragua,pesquero,trampas,,,,988,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
110,Sabueso,HW2014,Colombia,pesquero,arpon,,,,708,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
111,Floracion,BZ3311,Noruega,carga,,9676,131822,,449,AGENCO,Islas Malvinas,Naviera dedicada a la carga
112,Flor,BB5259,Brasil,pesquero,manos,,,,1457,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
113,Campanilla,WC8293,Australia,pesquero,manos,,,,1533,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
114,pechiazul,RY9242,Canada,petrolero,,,,585328,627,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
115,Blyth,OM4230,Paraguay,petrolero,,,,725658,1519,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
116,Boadicea,AL1557,Dinamarca,carga,,9250,144164,,1480,Container Transport Solutions,Colombia,Naviera dedicada a la carga
117,bodenham,II3534,Noruega,pesquero,arrastre,,,,23,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
118,Castillo bodiam,CG7403,Japon,pesquero,arpon,,,,31,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
119,Bogam,WX5990,Argentina,carga,,6868,127102,,162,CCNI,Sudafrica,Naviera dedicada a la carga
120,Negrita,HE5247,Polonia,pesquero,manos,,,,1314,CMA,Chile,Naviera dedicada a la pesca
121,Bolebroke,HH5023,Republica Dominicana,carga,,10055,118740,,1239,CCNI,Sudafrica,Naviera dedicada a la carga
122,Bolton Castle,FI2331,Austria,pesquero,arpon,,,,1448,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
123,Bolton,YB3879,Austria,petrolero,,,,727713,10,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
124,Bombardear,OY7209,Reino Unido,carga,,9586,139309,,665,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
125,Castillo de Bombay,NK1201,Ecuador,carga,,12465,123427,,1236,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
126,Bombay,MN4984,Japon,petrolero,,,,732143,1285,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
127,Bumerang,PA1651,Islas Malvinas,pesquero,arrastre,,,,147,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
128,Buenaventura,PJ8392,Republica Dominicana,pesquero,hilo,,,,560,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
129,Bonavoila,UE6214,Ecuador,petrolero,,,,743949,19,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
130,Bonetta,IJ4552,Mexico,petrolero,,,,713431,1077,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
131,Bonita,EF2295,Canada,pesquero,manos,,,,1178,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
132,Bonito,RA3983,Finlandia,pesquero,arpon,,,,1432,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
133,Bonne Ciudadana,YC1851,Austria,pesquero,hilo,,,,787,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
134,Bootle,XL6992,Costa Rica,carga,,6160,134692,,948,CCNI,Sudafrica,Naviera dedicada a la carga
135,Borraja,RC8468,Estados Unidos,pesquero,hilo,,,,122,CMA,Chile,Naviera dedicada a la pesca
136,Frontera,XH5466,Australia,carga,,9006,86111,,1149,AGENCO,Islas Malvinas,Naviera dedicada a la carga
137,Boreas,VH2584,Ecuador,carga,,11877,140426,,1257,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
138,Boreham,CV4539,Islas Malvinas,pesquero,hilo,,,,858,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
139,Taladrador,VB9537,Canada,petrolero,,,,710065,353,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
140,Boscawen,OF5460,Chile,carga,,9548,97271,,1385,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
141,Bossington,EB3227,Peru,petrolero,,,,738155,1042,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
142,Boston,IH6707,Nicaragua,pesquero,arrastre,,,,1536,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
143,Botha,DA9671,Suiza,pesquero,arrastre,,,,547,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
144,Bottisham,NL7862,Nueva Zelanda,pesquero,arrastre,,,,991,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
145,Bouclier,UJ2611,Islas Malvinas,pesquero,trampas,,,,1597,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
146,Boulogne,PV7666,Austria,petrolero,,,,736909,969,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
147,Boulston,HH5472,Republica Dominicana,pesquero,arpon,,,,1577,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
148,Bravucon,KQ3854,Nicaragua,pesquero,manos,,,,67,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
149,Abundante,ON7101,Argentina,carga,,14531,94189,,1056,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
150,Generosidad,QC1164,España,petrolero,,,,700310,1272,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
151,bourbonnaise,TW7915,Tailandia,pesquero,hilo,,,,293,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
152,Bourdelais,EI5834,Polonia,petrolero,,,,639358,898,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
153,Bowen,AI9121,Jamaica,petrolero,,,,746383,422,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
154,Castillo de Bowes,YE6286,Argentina,pesquero,hilo,,,,1013,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
155,bowmanville,PJ3020,Japon,petrolero,,,,687636,398,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
156,Boxer,IX1197,Italia,pesquero,manos,,,,47,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
157,Boyne,YB1434,Belgica,pesquero,trampas,,,,536,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
158,Braak,LD3618,Republica Dominicana,petrolero,,,,580817,1217,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
159,Braave,IF9396,Portugal,petrolero,,,,592012,440,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
160,Bradfield,AY3986,Islas Malvinas,petrolero,,,,712881,1569,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
161,Bradford,FJ6533,Sudafrica,pesquero,hilo,,,,879,CMA,Chile,Naviera dedicada a la pesca
162,Trenza,SU8617,Belgica,petrolero,,,,723570,529,APL,Finlandia,Naviera dedicada al transporte de petroleo
163,Braithwaite,LW6201,Japon,pesquero,hilo,,,,801,CMA,Chile,Naviera dedicada a la pesca
164,Brakel,VG7905,Tailandia,carga,,7642,87416,,1617,Container Transport Solutions,Colombia,Naviera dedicada a la carga
165,Castillo bramber,SM2508,Colombia,carga,,10962,113194,,330,CCNI,Sudafrica,Naviera dedicada a la carga
166,Zarza,MY3367,Portugal,carga,,8438,103940,,997,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
167,Bramham,GS9404,Filipinas,carga,,8142,118735,,1209,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
168,Brampton,HE8199,Jamaica,carga,,6968,99037,,646,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
169,Brandon,FA3127,Chile,petrolero,,,,585901,390,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
170,Branlebas,DQ3759,India,carga,,7635,111941,,1125,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
171,brantford,RP8314,Ecuador,carga,,9611,147312,,758,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
172,Brantingham,MJ4934,Ecuador,pesquero,arrastre,,,,1443,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
173,Valiente,YX2002,Islas Malvinas,pesquero,arpon,,,,283,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
174,Bravo,EV7485,Qatar,petrolero,,,,654900,890,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
175,Brayford,HI7513,Suiza,petrolero,,,,616262,1092,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
176,Descarado,RO9221,Cuba,petrolero,,,,714373,604,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
177,Brema,TR8211,Australia,petrolero,,,,619301,860,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
178,brearley,FO3430,India,pesquero,arpon,,,,557,CMA,Chile,Naviera dedicada a la pesca
179,Brecon,LR2069,Panama,petrolero,,,,652513,1326,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
180,Breconshire,GJ5946,Noruega,carga,,13885,97450,,1546,AGENCO,Islas Malvinas,Naviera dedicada a la carga
181,Breda,HB4367,Egipto,petrolero,,,,643258,7,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
182,brenchley,VY5330,Australia,pesquero,arpon,,,,571,CMA,Chile,Naviera dedicada a la pesca
183,Brereton,WF3051,Singapur,carga,,14648,90191,,133,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
184,Brevdrageren,HI3831,Belgica,carga,,7602,132884,,514,Container Transport Solutions,Colombia,Naviera dedicada a la carga
185,Brezo,UO8744,Paraguay,pesquero,arpon,,,,1250,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
186,Bridgewater,DV6261,Belgica,pesquero,hilo,,,,206,Bertling Logistics S.A.,Australia,Naviera dedicada a la pesca
187,Castillo bridgnorth,TS8958,Indonesia,pesquero,arpon,,,,1466,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
188,Bridlington,LN8777,Tailandia,pesquero,trampas,,,,715,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
189,Bridport,HK6767,Sudafrica,petrolero,,,,745734,143,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
190,Brigadier,HE2921,Dinamarca,carga,,14600,118924,,451,CCNI,Sudafrica,Naviera dedicada a la carga
191,brigandine,BN3951,Italia,carga,,14837,97866,,1516,AGENCO,Islas Malvinas,Naviera dedicada a la carga
192,Bergantin,TG8958,España,pesquero,red,,,,848,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
193,Brigham,RK9162,Argentina,pesquero,hilo,,,,1224,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
194,Brighton,NQ5495,Panama,petrolero,,,,620057,1313,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
195,Brillante,HF4402,Austria,carga,,6926,139300,,161,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
196,Premio brillante,IT1233,Filipinas,pesquero,manos,,,,473,Bertling Logistics S.A.,Australia,Naviera dedicada a la pesca
197,Brinkley,FN4513,Qatar,carga,,8628,133839,,1593,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
198,Brinton,OA5815,Islas Malvinas,petrolero,,,,700422,1488,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
199,briseis,WC2925,Costa Rica,carga,,14876,143549,,1059,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
200,Energico,CC4639,Polonia,pesquero,hilo,,,,1378,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
201,Brissenden,UZ5981,Cuba,petrolero,,,,611090,585,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
202,Bristol,DK4889,Portugal,carga,,14922,125857,,896,CCNI,Sudafrica,Naviera dedicada a la carga
203,Britania,DT6703,Finlandia,petrolero,,,,672988,221,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
204,britomart,JR2308,Tailandia,pesquero,arpon,,,,1493,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
205,britanico,YW8268,Cuba,carga,,11036,119351,,723,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
206,Brixham,WK4832,Brasil,petrolero,,,,695017,87,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
207,Broaderschap,NN8091,Jamaica,petrolero,,,,617653,1413,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
208,Broadley,AV9914,Costa Rica,carga,,8282,87392,,184,Container Transport Solutions,Colombia,Naviera dedicada a la carga
209,Sable,DC7834,Qatar,pesquero,red,,,,8,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
210,broadwater,GS9663,Polonia,carga,,6640,88427,,1559,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
211,Broadway,OH1392,Jamaica,petrolero,,,,696867,634,Chartchil Ltda.,Irlanda,Naviera dedicada al transporte de petroleo
212,Brock,NP8695,Filipinas,pesquero,manos,,,,1339,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
213,Brocklesby,PV6712,Paraguay,petrolero,,,,574440,317,AirCargoReps,Reino Unido,Naviera dedicada al transporte de petroleo
214,brockville,ZV8179,Indonesia,petrolero,,,,607336,885,APL,Finlandia,Naviera dedicada al transporte de petroleo
215,Rompi,OV3558,Islas Malvinas,pesquero,red,,,,210,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
216,brolga,KI7112,India,carga,,14606,97725,,1614,Container Transport Solutions,Colombia,Naviera dedicada a la carga
